date,PRC,sprtrn
20081006,100.62000,-0.038518
20081007,95.65000,-0.057395
20081008,90.55000,-0.011333
20081009,89.00000,-0.076167
20081010,87.75000,-0.011759
20081013,92.21000,0.115800
20081014,93.60000,-0.005322
20081015,88.29000,-0.090350
20081016,91.52000,0.042507
20081017,90.78000,-0.006213
20081020,92.51000,0.047685
20081021,88.86000,-0.030800
20081022,83.60000,-0.061013
20081023,84.35000,0.012634
20081024,82.07000,-0.034511
20081027,79.66000,-0.031764
20081028,87.28000,0.107890
20081029,88.20000,-0.011079
20081030,90.69000,0.025804
20081031,92.97000,0.015365
20081103,92.68000,-0.002529
20081104,93.40000,0.040826
20081105,89.94000,-0.052677
20081106,85.15000,-0.050264
20081107,86.27000,0.028855
20081110,83.87000,-0.012653
20081111,82.74000,-0.022041
20081112,79.74000,-0.051894
20081113,84.21000,0.069213
20081114,80.33000,-0.041699
20081117,77.48000,-0.025810
20081118,80.08000,0.009838
20081119,75.97000,-0.061156
20081120,71.74000,-0.067123
20081121,74.88000,0.063248
20081124,79.89000,0.064723
20081125,80.65000,0.006551
20081126,81.67000,0.035328
20081128,81.60000,0.009643
20081201,76.90000,-0.089295
20081202,79.84000,0.039941
20081203,80.67000,0.025836
20081204,77.44000,-0.029308
20081205,80.59000,0.036499
20081208,84.86000,0.038387
20081209,82.69000,-0.023118
20081210,82.86000,0.011894
20081211,80.58000,-0.028524
20081212,82.20000,0.007028
20081215,82.77000,-0.012686
20081216,86.40000,0.051360
20081217,85.84000,-0.009593
20081218,84.00000,-0.021163
20081219,83.52000,0.002937
20081222,81.99000,-0.018302
20081223,80.60000,-0.009717
20081224,80.52000,0.005781
20081226,81.33000,0.005356
20081229,81.25000,-0.003873
20081230,83.55000,0.024407
20081231,84.16000,0.014158
20090102,87.37000,0.031608
20090105,86.82000,-0.004668
20090106,89.23000,0.007817
20090107,87.79000,-0.030010
20090108,87.18000,0.003397
20090109,84.70000,-0.021303
20090112,85.71000,-0.022564
20090113,85.34000,0.001758
20090114,83.19000,-0.033460
20090115,84.12000,0.001329
20090116,84.92000,0.007562
20090120,81.98000,-0.052816
20090121,91.42000,0.043491
20090122,90.07000,-0.015162
20090123,89.49000,0.005378
20090126,91.60000,0.005553
20090127,91.66000,0.010926
20090128,94.82000,0.033558
20090129,92.51000,-0.033120
20090130,91.65000,-0.022789
20090202,90.93000,-0.000533
20090203,93.48000,0.015834
20090204,92.83000,-0.007489
20090205,92.41000,0.016366
20090206,96.14000,0.026896
20090209,96.82000,0.001485
20090210,93.27000,-0.049121
20090211,95.16000,0.007955
20090212,95.07000,0.001739
20090213,93.84000,-0.009998
20090217,90.67000,-0.045559
20090218,91.51000,-0.000950
20090219,88.93000,-0.012024
20090220,88.79000,-0.011413
20090223,84.37000,-0.034699
20090224,86.40000,0.040103
20090225,85.90000,-0.010658
20090226,88.97000,-0.015780
20090227,92.03000,-0.023564
20090302,89.05000,-0.046620
20090303,87.77000,-0.006407
20090304,89.49000,0.023753
20090305,87.48000,-0.042532
20090306,85.81000,0.001216
20090309,83.48000,-0.010024
20090310,87.25000,0.063663
20090311,88.62000,0.002446
20090312,90.40000,0.040729
20090313,90.36000,0.007739
20090316,91.22000,-0.003516
20090317,92.91000,0.032140
20090318,91.95000,0.020858
20090319,92.66000,-0.012979
20090320,92.51000,-0.019769
20090323,98.71000,0.070758
20090324,98.30000,-0.020415
20090325,97.95000,0.009626
20090326,98.78000,0.023320
20090327,94.15000,-0.020316
20090330,94.52000,-0.034819
20090331,96.89000,0.013130
20090401,97.61000,0.016557
20090402,100.82000,0.028727
20090403,102.22000,0.009732
20090406,101.56000,-0.008332
20090407,98.75000,-0.023855
20090408,101.19000,0.011783
20090409,101.70000,0.038053
20090413,99.95000,0.002533
20090414,99.27000,-0.020065
20090415,98.85000,0.012549
20090416,101.43000,0.015539
20090417,101.27000,0.004969
20090420,100.43000,-0.042790
20090421,102.31000,0.021252
20090422,102.55000,-0.007682
20090423,101.42000,0.009922
20090424,100.08000,0.016797
20090427,99.95000,-0.010067
20090428,101.94000,-0.002740
20090429,104.04000,0.021610
20090430,103.21000,-0.000950
20090501,104.61000,0.005396
20090504,106.19000,0.033868
20090505,105.85000,-0.003792
20090506,104.62000,0.017404
20090507,102.59000,-0.013202
20090508,101.49000,0.024069
20090511,102.90000,-0.021512
20090512,103.94000,-0.000979
20090513,102.26000,-0.026895
20090514,101.05000,0.010352
20090515,101.37000,-0.011410
20090518,104.58000,0.030389
20090519,105.51000,-0.001737
20090520,104.05000,-0.005131
20090521,102.82000,-0.016758
20090522,101.89000,-0.001497
20090526,105.02000,0.026302
20090527,102.93000,-0.018971
20090528,104.69000,0.015419
20090529,106.28000,0.013575
20090601,108.37000,0.025818
20090602,106.83000,0.001983
20090603,106.49000,-0.013739
20090604,106.33000,0.011484
20090605,107.24000,-0.002515
20090608,107.49000,-0.001011
20090609,108.14000,0.003503
20090610,108.35000,-0.003480
20090611,109.40000,0.006112
20090612,108.21000,0.001397
20090615,107.62000,-0.023769
20090616,107.32000,-0.012720
20090617,107.00000,-0.001382
20090618,106.33000,0.008411
20090619,105.89000,0.003114
20090622,104.52000,-0.030600
20090623,104.44000,0.002307
20090624,104.15000,0.006524
20090625,106.06000,0.021444
