PERMNO,date,TICKER,PERMCO,PRC,RET,CFACSHR,RETX,sprtrn
12490,20090102,IBM,20990,87.37000,0.038142,1,0.038142,0.031608
12490,20090105,IBM,20990,86.82000,-0.006295,1,-0.006295,-0.004668
12490,20090106,IBM,20990,89.23000,0.027759,1,0.027759,0.007817
12490,20090107,IBM,20990,87.79000,-0.016138,1,-0.016138,-0.030010
12490,20090108,IBM,20990,87.18000,-0.006948,1,-0.006948,0.003397
12490,20090109,IBM,20990,84.70000,-0.028447,1,-0.028447,-0.021303
12490,20090112,IBM,20990,85.71000,0.011924,1,0.011924,-0.022564
12490,20090113,IBM,20990,85.34000,-0.004317,1,-0.004317,0.001758
12490,20090114,IBM,20990,83.19000,-0.025193,1,-0.025193,-0.033460
12490,20090115,IBM,20990,84.12000,0.011179,1,0.011179,0.001329
12490,20090116,IBM,20990,84.92000,0.009510,1,0.009510,0.007562
12490,20090120,IBM,20990,81.98000,-0.034621,1,-0.034621,-0.052816
12490,20090121,IBM,20990,91.42000,0.115150,1,0.115150,0.043491
12490,20090122,IBM,20990,90.07000,-0.014767,1,-0.014767,-0.015162
12490,20090123,IBM,20990,89.49000,-0.006439,1,-0.006439,0.005378
12490,20090126,IBM,20990,91.60000,0.023578,1,0.023578,0.005553
12490,20090127,IBM,20990,91.66000,0.000655,1,0.000655,0.010926
12490,20090128,IBM,20990,94.82000,0.034475,1,0.034475,0.033558
12490,20090129,IBM,20990,92.51000,-0.024362,1,-0.024362,-0.033120
12490,20090130,IBM,20990,91.65000,-0.009296,1,-0.009296,-0.022789
12490,20090202,IBM,20990,90.93000,-0.007856,1,-0.007856,-0.000533
12490,20090203,IBM,20990,93.48000,0.028044,1,0.028044,0.015834
12490,20090204,IBM,20990,92.83000,-0.006953,1,-0.006953,-0.007489
12490,20090205,IBM,20990,92.41000,-0.004524,1,-0.004524,0.016366
12490,20090206,IBM,20990,96.14000,0.045774,1,0.040364,0.026896
12490,20090209,IBM,20990,96.82000,0.007073,1,0.007073,0.001485
12490,20090210,IBM,20990,93.27000,-0.036666,1,-0.036666,-0.049121
12490,20090211,IBM,20990,95.16000,0.020264,1,0.020264,0.007955
12490,20090212,IBM,20990,95.07000,-0.000946,1,-0.000946,0.001739
12490,20090213,IBM,20990,93.84000,-0.012938,1,-0.012938,-0.009998
12490,20090217,IBM,20990,90.67000,-0.033781,1,-0.033781,-0.045559
12490,20090218,IBM,20990,91.51000,0.009264,1,0.009264,-0.000950
12490,20090219,IBM,20990,88.93000,-0.028194,1,-0.028194,-0.012024
12490,20090220,IBM,20990,88.79000,-0.001574,1,-0.001574,-0.011413
12490,20090223,IBM,20990,84.37000,-0.049780,1,-0.049780,-0.034699
12490,20090224,IBM,20990,86.40000,0.024061,1,0.024061,0.040103
12490,20090225,IBM,20990,85.90000,-0.005787,1,-0.005787,-0.010658
12490,20090226,IBM,20990,88.97000,0.035739,1,0.035739,-0.015780
12490,20090227,IBM,20990,92.03000,0.034394,1,0.034394,-0.023564
12490,20090302,IBM,20990,89.05000,-0.032381,1,-0.032381,-0.046620
12490,20090303,IBM,20990,87.77000,-0.014374,1,-0.014374,-0.006407
12490,20090304,IBM,20990,89.49000,0.019597,1,0.019597,0.023753
12490,20090305,IBM,20990,87.48000,-0.022461,1,-0.022461,-0.042532
12490,20090306,IBM,20990,85.81000,-0.019090,1,-0.019090,0.001216
